店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
てんぷぅ ～天ぷらとアテとワイン～,075-231-3335,,京都府,京都市中京区天神山町,'274,,,
餃子と小籠包 風枝,050-5485-5524,,京都府,京都市中京区蛸薬師通室町西入ル姥柳町,'189,エチカビル1F,,
京都串処 東屋,050-5492-6306,,京都府,京都市中京区材木町,'186,トリタネビル2F,,
個室空間 湯葉豆富料理 竹取酒物語京都中央口駅前店,075-343-8588,,京都府,京都市下京区東洞院通塩小路下ル東塩小路町,'849,セレマビル3F,,
海鮮料理 炭火串焼 五右衛門,050-5487-5545,,京都府,京都市南区吉祥院東前田町,'34,2F,,
寿司・焼鳥食べ放題 和牛と海鮮 完全個室 祇園商店 京都本店,050-5488-4547,,京都府,京都市下京区真町-,'97,6F,,
京都 炭火串焼つじや京都駅八条口店,050-5493-7909,,京都府,京都市南区竹田街道東寺道東九条南山王町,'26,,,
PIZZA SALVATORE CUOMO＆ GRILL 京都,050-5485-6902,,京都府,京都市中京区河原町三条東入ル中島町,'90,aune京都三条ビルB1,,
KICHIRI河原町店,050-5484-8205,,京都府,京都市中京区河原町通蛸薬師下ル塩屋町,'324,古城ビル7F,,
京料理 熊魚菴 たん熊北店京都南禅寺本店,050-5486-9677,,京都府,京都市左京区南禅寺下河原町,'30-4,,,
酒とお料理 つぐ,050-5485-9027,,京都府,京都市中京区室町新町の間観音堂町,'468,,,
おばんざいの店 京都ことこと烏丸御池店,050-5487-0322,,京都府,京都市中京区両替町通姉小路下ル柿本町,'392,,,
とり焼き 鶏料理 かしわ祇園豆六小路,050-5485-8796,,京都府,京都市東山区清本町,'374-5,豆六小路内,,
京町家個室 六白屋,050-5485-3175,,京都府,京都市中京区室町新町の間四条上ル観音堂町,'452-1,,,
京ちゃんこ 海鮮居酒屋 江戸自慢部屋,050-5487-5104,,京都府,京都市中京区東木屋町通四条上ル鍋屋町,'215,,,
京料理 加茂川,050-5487-7629,,京都府,京都市下京区東前町,'406,,,
京家きよみず木屋町,050-5485-3424,,京都府,京都市中京区河原町通四条上ル米屋町,'378,,,
個室完備 海鮮居酒屋 京都 花の舞京都駅中央口,050-5484-5229,,京都府,京都市下京区東洞院通塩小路下ル東塩小路町,'849,京都セレマビル5F,,
KICHIRI 京都三条,050-5484-8528,,京都府,京都市中京区三条通河原町東入中島町,'86,鶴の井ビル2F,,
京都駅 個室居酒屋 御肴凸鉾,050-5485-6263,,京都府,京都市下京区東洞院七条上ル飴屋町,'254,,,
大分からあげと鉄板焼 伏見桃山応援団 勝男,050-5489-0629,,京都府,京都市伏見区京町,'4-154,,,
