店舗名,電話番号,都道府県,市区町村,番地,建物名,URL,SSL
個室空間 湯葉豆富料理 竹取酒物語 京都中央口駅前店,075-343-8588,京都府,京都市下京区東洞院通塩小路下ル東塩小路町,'849,セレマビル3F,https://kaed347.gorp.jp/,True
全席個室 鮨と酒日和 ととうお 四条河原町店,050-5485-6482,京都府,京都市下京区四条小橋東入橋本町,'105,PONTOビル2F,https://totouo.dkdining.com/shijokawara/,True
京町・大ちゃん（伏水酒蔵小路内）,050-5486-8136,京都府,京都市伏見区平野町,'82-2,,https://kyomachichaya.gorp.jp/,True
先斗町 すいしん 本店,050-5488-1702,京都府,京都市中京区先斗町三条下ル材木町,'181,（先斗町歌舞練場西向い）,https://suishinhonten.gorp.jp/,True
串だいにんぐ 炭焼浪漫家 京都八条口店,050-5487-1641,京都府,京都市南区東九条上殿田町,'30,,https://kyotohachijoguchi.gorp.jp/,True
Jumelles29,050-5485-4962,京都府,京都市下京区綾小路通麩屋町下ル塩屋町,'81-1,,https://kc9h300.gorp.jp/,True
立呑・座呑・外呑処 新橋へそ 京都駅前本店,050-5494-2982,京都府,京都市下京区七条通烏丸東入真苧屋町,'203,,https://kdu7700.gorp.jp/,True
とり処 季節料理 京富庵,050-5484-7154,京都府,京都市中京区油小路通四条上ル藤本町,'560,,https://kaa2800.gorp.jp/,True
よってこ屋,050-5485-0265,京都府,京田辺市田辺中央,'3-1-1,アメニティセブン1F,https://yottekoya.gorp.jp/,True
京都の洋食屋 グリルにんじん,050-5484-9035,京都府,京都市左京区一乗寺出口町,'51-2,,https://kave700.gorp.jp/,True
貝と白ワインのバル KAKIMARU 綾小路店,050-5486-0311,京都府,京都市下京区綾小路通富小路西入ル塩屋町,'66,,https://k763313.gorp.jp/,True
駿河バル,050-5484-3463,京都府,京都市中京区蛸薬師通室町西入姥柳町,'203,パラドール烏丸ビル1F,https://apartment.gorp.jp/,True
けんすい錦 錦小路店,050-5487-8638,京都府,京都市中京区錦小路通高倉東入中魚屋町,'499,2F,https://kensui.gorp.jp/,True
京の地野菜とワイン 一軒家酒屋KADO,050-5488-6412,京都府,京都市中京区観音堂町,'453-1,,https://c547803.gorp.jp/,True
京都 炭火串焼つじや 京都駅八条口店,050-5493-7909,京都府,京都市南区竹田街道東寺道東九条南山王町,'26,,https://ka1g305.gorp.jp/,True
産直鮮魚と炊きたて土鍋ご飯の居酒屋 市場小路 イオン京都桂川店,050-5486-1609,京都府,京都市南区久世高田町,'376,イオンモール京都桂川2F,https://k002713.gorp.jp/,True
炭火やきとり 先斗町 八十八,050-5485-1975,京都府,京都市中京区先斗町通三条下ル下樵木町,'192,,https://yasohachi.gorp.jp/,True
Garden annex 京都駅堀川通店,050-5493-5197,京都府,京都市下京区油小路通り塩小路南不動堂町,'6,アパホテル京都駅堀川通1F,https://ke9p700.gorp.jp/,True
個室 藁焼き小屋 た藁や～たわらや～ 伏見桃山店,050-5487-7821,京都府,京都市伏見区両替町,'4-292-1,西野ビル2F,https://kcaa595.gorp.jp/,True
新食彩 あかさき,050-5486-1372,京都府,京都市下京区七条通間之町東入ル材木町,'476-2,,https://akasaki.gorp.jp/,True
日本酒と炭火焼 藤丸,050-5485-8123,京都府,京都市伏見区上油掛町,'197-1,,https://fujimaru.gorp.jp/,True
京料理 加茂川,050-5487-7629,京都府,京都市下京区東前町,'406,,https://kamogawa.gorp.jp/,True
酒とお料理 つぐ,050-5485-9027,京都府,京都市中京区室町新町の間観音堂町,'468,,https://c499501.gorp.jp/,True
肉が旨い。松井山手店,050-5488-9872,京都府,京田辺市山手南,'2-2-3,,https://kdr2401.gorp.jp/,True
やきとり 鳥あさ,050-5484-4809,京都府,京都市下京区四条通烏丸東入ル長刀鉾町,'8,京都三井ビルB1,https://www.dd-holdings.jp/shops/toriasa/sijyo,True
京やさい料理 接方来 京都タワー店,050-5488-1710,京都府,京都市下京区烏丸通り七条下ル東塩小路,'721-1,京都タワービル2F,https://seppouraikyototower.gorp.jp/,True
餃子と小籠包 風枝,050-5485-5524,京都府,京都市中京区蛸薬師通室町西入ル姥柳町,'189,エチカビル1F,https://kazeeda.gorp.jp/,True
個室 活イカと炭火焼 九州料理 羽根屋 京都西院店,050-5492-4563,京都府,京都市右京区西院東淳和院町,'2-1,いのしし堂西院ビル3F,https://ke5y500.gorp.jp/,True
ラッコルタ,0774-29-6494,京都府,京田辺市大住虚空蔵谷,'2-1,,https://kaez000.gorp.jp/,True
町家・京季節料理 凛月,050-5485-4362,京都府,京都市中京区室町御池上ル御池之町,'308,,https://ringetsu.gorp.jp/,True
京野菜と創作料理 中家,050-5485-3459,京都府,京都市右京区西院西三蔵町,'11-1,,https://nakaya.gorp.jp/,True
京家きよみず 祇をん新橋,050-5485-1441,京都府,京都市東山区新橋通花見小路東入ル,'2丁目橋本町416,,https://kab4603.gorp.jp/,True
焼肉ホルモン　オンザライス,050-5493-1159,京都府,京都市伏見区深草西浦町,'4-33-2,,https://ke96300.gorp.jp/,True
